country,station,pop,stockID,day,month,year,lat,lon,fishno,length_cm,weight_g,age,sex,maturity,folder,picname,cal
Iceland,403,IC,337807,5,7,2009,64.23,-22.94,54,34.0,299.0,6,M,5,IC,403_54,203
Iceland,403,IC,337807,5,7,2009,64.23,-22.94,56,33.0,337.2,7,F,5,IC,403_56,203
Iceland,403,IC,337807,5,7,2009,64.23,-22.94,63,34.0,400.2,7,M,5,IC,403_63,203
Iceland,403,IC,337807,5,7,2009,64.23,-22.94,73,33.0,388.6,7,M,5,IC,403_73,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,53,31.0,273.8,5,F,5,IC,408_53,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,60,28.0,196.6,3,F,5,IC,408_60,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,66,34.0,418.4,7,M,6,IC,408_66,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,67,28.0,193.5,4,M,4,IC,408_67,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,72,32.0,324.4,5,F,6,IC,408_72,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,76,27.0,182.0,3,F,6,IC,408_76,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,85,34.0,435.6,9,M,6,IC,408_85,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,92,30.0,281.7,4,M,5,IC,408_92,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,95,33.0,392.8,7,F,5,IC,408_95,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,99,33.0,288.5,5,M,7,IC,408_99,203
Iceland,408,IC,337812,8,7,2009,63.34,-18.89,100,33.0,364.8,7,F,6,IC,408_100,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,57,32.0,327.2,4,F,5,IC,411_57,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,58,36.0,500.6,11,M,5,IC,411_58,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,60,31.0,305.0,5,M,5,IC,411_60,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,61,33.0,380.4,5,M,5,IC,411_61,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,65,34.0,297.9,5,F,7,IC,411_65,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,66,33.0,370.4,9,M,5,IC,411_66,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,68,33.0,386.7,5,M,5,IC,411_68,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,70,28.0,242.8,3,M,5,IC,411_70,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,76,29.0,231.9,3,F,5,IC,411_76,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,77,37.0,377.2,13,F,7,IC,411_77,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,79,35.0,398.8,6,M,5,IC,411_79,203
Iceland,411,IC,337815,9,7,2009,63.75,-16.45,82,34.0,377.6,6,M,5,IC,411_82,203
