country;station;pop;stockID;day;month;year;lat;lon;fishno;length_cm;weight_g;age;sex;maturity;folder;picname;cal
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;54;34.0;299.0;6;M;5;IC;403_54;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;56;33.0;337.2;7;F;5;IC;403_56;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;63;34.0;400.2;7;M;5;IC;403_63;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;73;33.0;388.6;7;M;5;IC;403_73;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;66;34.0;418.4;7;M;6;IC;408_66;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;95;33.0;392.8;7;F;5;IC;408_95;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;100;33.0;364.8;7;F;6;IC;408_100;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;79;35.0;398.8;6;M;5;IC;411_79;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;82;34.0;377.6;6;M;5;IC;411_82;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;83;35.0;445.0;6;M;5;IC;411_83;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;8;33.0;307.1;6;F;5;IC;403_8;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;16;33.0;407.9;6;M;5;IC;403_16;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;18;33.0;353.2;7;F;5;IC;403_18;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;23;34.0;425.4;7;M;5;IC;403_23;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;25;32.0;345.0;7;F;5;IC;403_25;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;30;34.0;365.0;7;F;5;IC;403_30;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;32;34.0;366.8;7;M;5;IC;403_32;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;36;33.0;350.0;7;M;5;IC;403_36;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;42;33.0;345.8;6;F;6;IC;403_42;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;46;35.0;393.2;7;F;5;IC;403_46;203
Iceland;408;IC;337812;8;7;2009;63.2;18.53;16;33.0;345.2;6;M;6;IC;408_16;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;8;34.5;334.0;8;M;5;NO;9012_8;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;9;30.5;259.0;8;F;5;NO;9012_9;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;17;33.0;308.0;8;F;5;NO;9012_17;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;19;32.0;261.0;7;M;6;NO;9012_19;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;20;35.5;328.0;8;F;5;NO;9012_20;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;22;34.0;355.0;7;M;5;NO;9012_22;203
